ID,segment
test-1,0.04
test-10,0.19
test-100,0.46
test-1000,0.08
test-10000,0.021952380952380956
test-100000,0.19541666666666666
test-10001,0.15
test-10002,0.06
test-10003,0.0
test-10004,0.01
test-10005,0.0
test-10006,0.35
test-10007,0.57
test-10008,0.25
test-10009,0.18
test-1001,0.14
test-10010,0.01
test-10011,0.05
test-10012,0.12
test-10013,0.13
test-10014,0.28
test-10015,0.02
test-10016,0.03
test-10017,0.0
test-10018,0.0
test-10019,0.06
test-1002,0.01
test-10020,0.08
test-10021,0.01
test-10022,0.0
test-10023,0.11
test-10024,0.02
test-10025,0.2
test-10026,0.0
test-10027,0.04
test-10028,0.31
test-10029,0.03
test-1003,0.07
test-10030,0.03
test-10031,0.02
test-10032,0.06097248885880044
test-10033,0.36
test-10034,0.08
test-10035,0.02
test-10036,0.13
test-10037,0.15
test-10038,0.01
test-10039,0.05270259690315471
test-1004,0.02
test-10040,0.0
test-10041,0.12
test-10042,0.09
test-10043,0.22
test-10044,0.05
test-10045,0.03
test-10046,0.02
test-10047,0.07
test-10048,0.03
test-10049,0.11
test-1005,0.01
test-10050,0.06
test-10051,0.22
test-10052,0.24
test-10053,0.06
test-10054,0.06
test-10055,0.03
test-10056,0.09
test-10057,0.01
test-10058,0.01
test-10059,0.17
test-1006,0.01
test-10060,0.12
test-10061,0.02
test-10062,0.0
test-10063,0.05
test-10064,0.09
test-10065,0.13
test-10066,0.0
test-10067,0.04
test-10068,0.27
test-10069,0.21
test-1007,0.15
test-10070,0.03
test-10071,0.0
test-10072,0.12
test-10073,0.16
test-10074,0.02
test-10075,0.26
test-10076,0.09
test-10077,0.08
test-10078,0.23
test-10079,0.0
test-1008,0.07
test-10080,0.27
test-10081,0.03
test-10082,0.0
test-10083,0.32
test-10084,0.02
test-10085,0.16
test-10086,0.01
test-10087,0.047703964763834435
test-10088,0.1
test-10089,0.16
test-1009,0.6
test-10090,0.06
test-10091,0.05
test-10092,0.07
test-10093,0.01
test-10094,0.14
test-10095,0.33
test-10096,0.23
test-10097,0.0
test-10098,0.04880364970813191
test-10099,0.3
test-101,0.05
test-1010,0.01
test-10100,0.07
test-10101,0.14
test-10102,0.17
test-10103,0.02
test-10104,0.0
test-10105,0.06097248885880044
test-10106,0.14
test-10107,0.15
test-10108,0.27
test-10109,0.34
test-1011,0.18
test-10110,0.06
test-10111,0.1
test-10112,0.07
test-10113,0.02
test-10114,0.0
test-10115,0.15
test-10116,0.24
test-10117,0.06
test-10118,0.2
test-10119,0.54
test-1012,0.01
test-10120,0.01
test-10121,0.07
test-10122,0.05
test-10123,0.23
test-10124,0.02
test-10125,0.03
test-10126,0.01
test-10127,0.1
test-10128,0.06
test-10129,0.05
test-1013,0.09
test-10130,0.19
test-10131,0.02
test-10132,0.05543947726714591
test-10133,0.18
test-10134,0.04
test-10135,0.06
test-10136,0.04
test-10137,0.32
test-10138,0.044303723016483235
test-10139,0.09488318956922422
test-1014,0.01
test-10140,0.02
test-10141,0.19
test-10142,0.01
test-10143,0.0
test-10144,0.07
test-10145,0.06
test-10146,0.07619375149792984
test-10147,0.0
test-10148,0.01
test-10149,0.04459794793026276
test-1015,0.23
test-10150,0.0
test-10151,0.1
test-10152,0.27
test-10153,0.24
test-10154,0.12
test-10155,0.08534020963399229
test-10156,0.39
test-10157,0.12
test-10158,0.01
test-10159,0.03
test-1016,0.21
test-10160,0.26
test-10161,0.15
test-10162,0.34
test-10163,0.08
test-10164,0.07
test-10165,0.47
test-10166,0.17
test-10167,0.0
test-10168,0.01
test-10169,0.19
test-1017,0.05
test-10170,0.02
test-10171,0.06
test-10172,0.14
test-10173,0.08
test-10174,0.13
test-10175,0.19
test-10176,0.0
test-10177,0.04
test-10178,0.02
test-10179,0.08
test-1018,0.11
test-10180,0.04
test-10181,0.14
test-10182,0.14
test-10183,0.02
test-10184,0.06
test-10185,0.19
test-10186,0.01
test-10187,0.28
test-10188,0.07
test-10189,0.05
test-1019,0.0
test-10190,0.0
test-10191,0.044303723016483235
test-10192,0.11
test-10193,0.32
test-10194,0.24
test-10195,0.03
test-10196,0.08806117316213197
test-10197,0.05
test-10198,0.09
test-10199,0.04
test-102,0.05
test-1020,0.05
test-10200,0.08
test-10201,0.03
test-10202,0.27
test-10203,0.01
test-10204,0.06
test-10205,0.05
test-10206,0.23
